City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
588,Tutoia,BR,79.39,broken clouds,-2.7619,-42.2744,Pousada Guará's
590,Luoyang,CN,78.62,broken clouds,34.6836,112.4536,易家国际青年旅舍
591,Morgan City,US,84.99,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
592,Makakilo City,US,81.68,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
594,Natal,BR,79.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
597,Ferry Pass,US,85.64,scattered clouds,30.5102,-87.2125,Hampton Inn Pensacola-Airport (Cordova Mall Area)
598,Hengshui,CN,75.2,clear sky,37.7322,115.7011,Eaka Hotel Hengshui Railway Station Branch
601,Nagato,JP,75.6,overcast clouds,34.3833,131.2,いそう庵
605,Rosarito,MX,87.64,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
613,Holden,US,85.82,clear sky,42.3518,-71.8634,William Green
619,Do Gonbadan,IR,89.11,clear sky,30.3586,50.7981,مسافرخانه شادی
622,Black River,JM,80.2,broken clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
623,Flagstaff,US,87.46,broken clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
624,Meteti,PA,80.22,overcast clouds,8.4983,-77.9786,Txai Mauá
627,Progreso,MX,88.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
629,Silvassa,IN,77.14,moderate rain,20.2667,73.0167,Wonderland Resort
634,Gabu,GW,76.3,light rain,12.2833,-14.2167,Hotel karsa
636,Sciacca,IT,77.04,clear sky,37.5082,13.0881,Hotel Aliai
639,Naliya,IN,81.88,scattered clouds,23.2667,68.8333,jadeja jayendrasinh
641,Sasaram,IN,87.94,clear sky,24.951,84.0149,Hotel Maurya Royal
642,Kijang,KR,76.93,overcast clouds,35.2442,129.2139,Samyang Beach Villa
646,Ozinki,RU,75.52,light rain,51.1786,49.6769,Korolevskiy Dvor
648,Red Wing,US,80.37,broken clouds,44.5625,-92.5338,"St. James Hotel, 1875 - A Historic Hotel of America"
650,Tartus,SY,77.29,clear sky,34.889,35.8866,Mahmoud’s Home
655,Rosita,NI,78.44,overcast clouds,13.9268,-84.4032,Hospedaje Zeledón
656,Bambanglipuro,ID,75.31,overcast clouds,-7.95,110.2833,Puri Brata
658,Altamira,BR,79.52,broken clouds,-3.2033,-52.2064,Requinte Hotel
660,Diapaga,BF,79.16,overcast clouds,12.0708,1.7889,Hôtel GACILIE
665,Waspan,NI,80.13,broken clouds,14.7419,-83.9717,Hostal casa de la rose
667,Krasnyy Yar,RU,75.13,broken clouds,46.5331,48.3456,Cottege near Ufa
669,Dong Hoi,VN,78.58,overcast clouds,17.4833,106.6,Nam Long Hotel
672,Rawah,IQ,89.78,broken clouds,34.4816,41.9093,بيت سميع
