City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Domoni,KM,-12.2569,44.5319,75.43,77,74,9.44,broken clouds
262,Vanderhoof,CA,54.0166,-124.0198,68.58,30,78,10.4,broken clouds
263,Biritiba-Mirim,BR,-23.5698,-46.0407,60.98,97,100,3.87,overcast clouds
264,Asau,RO,46.4333,26.4,65.32,58,24,7.11,few clouds
265,Alenquer,BR,-1.9417,-54.7383,80.17,72,93,2.44,overcast clouds
266,Laramie,US,41.3114,-105.5911,84.58,21,75,13.8,broken clouds
267,Macae,BR,-22.3708,-41.7869,73.15,88,59,10.36,broken clouds
268,Kudahuvadhoo,MV,2.6708,72.8944,82.85,73,98,11.61,overcast clouds
269,Chute-Aux-Outardes,CA,49.1168,-68.399,71.58,56,100,2.3,overcast clouds
270,Port Hawkesbury,CA,45.6169,-61.3485,77.9,88,75,3.44,broken clouds
271,Nishihara,JP,26.1842,127.7558,81.68,89,75,5.75,broken clouds
272,Shieli,KZ,44.1667,66.75,80.17,31,0,13.13,clear sky
273,Linhares,BR,-19.3911,-40.0722,68.63,92,18,3.76,few clouds
274,Aykino,RU,62.2248,49.9922,64.53,95,85,4.88,light rain
275,Ahipara,NZ,-35.1667,173.1667,55.31,96,100,4.21,moderate rain
276,Adrar,MR,20.5022,-10.0711,99.61,18,25,6.44,scattered clouds
277,Namatanai,PG,-3.6667,152.4333,80.8,81,100,6.85,moderate rain
278,Millinocket,US,45.6573,-68.7098,80.42,48,77,7.58,broken clouds
279,Young,UY,-32.6833,-57.6333,47.91,84,0,8.05,clear sky
280,Uaua,BR,-9.8414,-39.4817,74.03,68,90,15.28,overcast clouds
281,Noyabrsk,RU,63.1994,75.4507,58.93,48,100,5.23,overcast clouds
282,Kefalos,GR,36.7453,26.9589,75.42,53,20,17.27,few clouds
283,Ribeira Grande,PT,38.5167,-28.7,73.8,68,20,8.05,few clouds
284,Dunedin,NZ,-45.8742,170.5036,48.79,87,100,10.0,overcast clouds
285,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,73.58,57,80,7.52,broken clouds
286,Danielskuil,ZA,-28.1887,23.5395,51.55,47,0,6.58,clear sky
287,Conil,FR,44.9673,3.7177,58.33,65,8,3.36,clear sky
288,Saint-Francois,FR,46.4154,3.9054,69.24,73,0,0.0,clear sky
289,Key West,US,24.5557,-81.7826,89.01,65,20,2.73,few clouds
290,Oyonnax,FR,46.2592,5.6573,73.33,52,20,3.98,few clouds
291,Toktogul,KG,41.8708,72.9402,63.5,60,7,2.77,clear sky
292,Kampot,KH,10.6167,104.1833,75.25,84,100,8.86,overcast clouds
293,Tailai,CN,46.3833,123.4,66.0,98,100,6.31,moderate rain
294,Praia,CV,14.9215,-23.5087,75.74,78,20,14.97,few clouds
295,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,86,0,3.44,clear sky
296,Aberdeen,GB,57.1437,-2.0981,57.69,62,77,10.36,broken clouds
297,Beringovskiy,RU,63.05,179.3167,50.9,86,90,8.1,overcast clouds
298,Izhma,RU,65.0083,53.9113,68.04,66,10,2.8,clear sky
299,Evanston,US,42.0411,-87.6901,81.72,68,5,5.01,clear sky
300,Vila,PT,42.0304,-8.1588,74.28,66,100,3.87,overcast clouds
301,Kavaratti,IN,10.5669,72.642,81.12,81,100,21.74,overcast clouds
302,Kalundborg,DK,55.6795,11.0886,58.33,73,0,25.81,clear sky
303,Zherdevka,RU,51.8486,41.4606,60.69,91,21,5.37,few clouds
304,Kinston,US,35.2627,-77.5816,87.98,83,0,3.44,clear sky
305,Victoria,HK,22.2855,114.1577,85.17,87,47,1.01,scattered clouds
306,Sorland,NO,67.667,12.6934,53.46,88,100,7.56,overcast clouds
307,Nome,US,64.5011,-165.4064,64.17,65,100,8.63,overcast clouds
308,Great Falls,US,47.5002,-111.3008,91.67,20,99,3.0,overcast clouds
